Affinity unit, # ,Ligand,Quality,Pred. ΔG,Pred. Error,Exp. ΔG,Exp. Error,Structure
kcal/mol,1,CHEMBL1084431,0,-9.79,0.35,-9.8,N/A,c1cc(C)ccc1C(=O)N(CC[NH3+])C[C@@H](CC2)O[C@H]3[C@@H]2[C@H](c4ccccc4)Nc(c35)ccc(C(F)(F)F)c5
kcal/mol,2,CHEMBL1093088,0,-10.31,0.33,-11.22,N/A,FC(F)(F)c(c1)ccc(c12)N[C@@H](c3ccccc3)[C@H]4[C@@H]2O[C@H](CC4)Cn5cncn5
kcal/mol,3,CHEMBL1084677,0,-11.81,0.35,-11.46,N/A,FC(F)(F)c(c1)ccc(c12)N[C@@H](c3ccccc3)[C@H]4[C@@H]2O[C@H](CC4)CNS(=O)(=O)CC[NH2+]C
kcal/mol,4,CHEMBL1083517,0,-7.76,0.35,-11.46,N/A,FC(F)(F)c(c1)ccc(c12)N[C@@H](c3ccc(O)cc3)[C@H]4[C@@H]2O[C@H](CC4)C[NH2+]C
kcal/mol,5,CHEMBL1085666,0,-10.57,0.32,-10.5,N/A,FC(F)(F)c(c1)ccc(c12)N[C@@H](c3ccccc3)[C@H]4[C@@H]2O[C@@H](C[NH3+])CC4
kcal/mol,6,CHEMBL1084678,0,-13.28,0.34,-11.13,N/A,FC(F)(F)c(c1)ccc(c12)N[C@@H](c3ccccc3)[C@H]4[C@@H]2O[C@H](CC4)CN(C)S(=O)(=O)CCC[NH3+]
kcal/mol,7,CHEMBL1084676,0,-11.59,0.35,-10.71,N/A,C[NH+](C)CCOC(=O)NC[C@@H](CC1)O[C@H]2[C@@H]1[C@H](c3ccccc3)Nc(c24)ccc(C(F)(F)F)c4
kcal/mol,8,CHEMBL1093087,0,-11.14,0.39,-10.53,N/A,FC(F)(F)c(c1)ccc(c12)N[C@@H](c3ccccc3)[C@H]4[C@@H]2O[C@H](CC4)CN(CC[NH3+])c5ccccc5
kcal/mol,9,CHEMBL1078691,0,-7.03,0.32,-10.19,N/A,CC(C)(C)c(c1)ccc(c12)N[C@@H](c3ccc(O)cc3)[C@H]4[C@@H]2OCCC4
kcal/mol,10,CHEMBL1077204,0,-12.48,0.36,-11.05,N/A,C[NH+](C)CCNC(=O)NC[C@@H](CC1)O[C@H]2[C@@H]1[C@H](c3ccccc3)Nc(c24)ccc(C(F)(F)F)c4
kcal/mol,11,CHEMBL1089056,0,-9.77,0.3,-9.44,N/A,CC(C)(C)c(c1)ccc(c12)N[C@@H](c3ccccc3)[C@H]4[C@@H]2OCCC4
kcal/mol,12,CHEMBL1085895,0,-12.01,0.37,-10.86,N/A,OCCCNC(=O)NC[C@@H](CC1)O[C@H]2[C@@H]1[C@H](c3ccccc3)Nc(c24)ccc(C(F)(F)F)c4
kcal/mol,13,CHEMBL1078774,0,-5.11,0.34,-10.6,N/A,CC(C)(C)c(c1)ccc(c12)N[C@@H](c(cc3)cc(F)c3O)[C@H]4[C@@H]2OCCC4
kcal/mol,14,CHEMBL1086409,0,-9.23,0.31,-9.87,N/A,FC(F)(F)c(c1)ccc(c12)N[C@@H](c3ccc(F)cc3)[C@H]4[C@@H]2O[C@H](CC4)C[NH2+]C
kcal/mol,15,CHEMBL1086410,0,-10.99,0.3,-11.46,N/A,CC(C)(C)c(c1)ccc(c12)N[C@@H](c3ccccc3)[C@H]4[C@@H]2O[C@H](CC4)C[NH2+]C
kcal/mol,16,CHEMBL1084935,0,-9.87,0.34,-10.53,N/A,CC(C)(C)c(c1)ccc(c12)N[C@@H](c3ccccc3)[C@H]4[C@@H]2O[C@H](CC4)C[N@H+](CC)CCO
kcal/mol,17,CHEMBL1084143,0,-12.74,0.39,-11.87,N/A,CC(C)c(c1)ccc(c12)N[C@@H](c3ccccc3)[C@H]4[C@@H]2O[C@H](CC4)CNS(=O)(=O)CCC[NH+](C)C
kcal/mol,18,CHEMBL1084115,0,-10.02,0.36,-9.44,N/A,CC(C)(C)c(c1)ccc(c12)N[C@@H](c3ccsc3)[C@H]4[C@@H]2OCCC4
kcal/mol,19,CHEMBL1088740,0,-9.17,0.35,-8.7,N/A,Cc(c1)ccc(c12)N[C@@H](c3ccccc3)[C@H]4[C@@H]2OCCC4
kcal/mol,20,CHEMBL1096002,0,-11.57,0.31,-11.13,N/A,OCC[NH2+]C[C@H](O1)CC[C@H]([C@H]1c(c23)cc(Cl)cc2F)[C@@H](N3)c4ccccc4
kcal/mol,21,CHEMBL1089393,0,-9.25,0.35,-8.38,N/A,c1c(Cl)ccc(c12)N[C@@H](c3ccccc3)[C@H]4[C@@H]2OCCC4
kcal/mol,22,CHEMBL1083836,0,-11.39,0.31,-10.86,N/A,C[NH2+]C[C@@H](CC1)O[C@H]2[C@@H]1[C@H](c3ccccc3)Nc(c24)ccc(c4)C5CC5
kcal/mol,23,CHEMBL1082248,0,-11.71,0.32,-11.63,N/A,Fc1cc(Br)cc(c12)[C@@H]3[C@@H](CC[C@@H](O3)C[NH2+]C)[C@@H](N2)c4ccccc4
kcal/mol,24,CHEMBL1096003,0,-11.66,0.4,-11.87,N/A,C[NH+](C)CCS(=O)(=O)NC[C@@H](CC1)O[C@H]2[C@@H]1[C@H](c3ccccc3)Nc(c24)c(F)cc(Cl)c4
kcal/mol,25,CHEMBL1082249,0,-12.32,0.36,-11.22,N/A,CC(=O)NCC[NH2+]C[C@@H](CC1)O[C@H]2[C@@H]1[C@H](c3ccccc3)Nc(c24)c(F)cc(Br)c4
kcal/mol,26,CHEMBL1085692,0,-12.86,0.35,-11.32,N/A,C[NH+](C)CCCC(=O)NC[C@@H](CC1)O[C@H]2[C@@H]1[C@H](c3ccccc3)Nc(c24)c(F)cc(Br)c4
kcal/mol,27,CHEMBL1078998,0,-11.6,0.32,-10.37,N/A,CC(C)(C)c(c1)ccc(c12)N[C@@H](c3cccs3)[C@H]4[C@@H]2OCCC4
kcal/mol,28,CHEMBL1077227,0,-11.88,0.32,-11.32,N/A,CC(C)(C)c(c1)ccc(c12)N[C@@H](c3cccs3)[C@H]4[C@@H]2O[C@H](CC4)C[NH2+]C
