"Title","MMGBSA dG Bind","exp dg"
"62",-63.8986121575981016,-7.6917400000000002
"55",-73.4655683156852035,-10.6355000000000004
"47",-59.9293189544478011,-8.3334499999999991
"70",-69.1333566147477967,-10.3039000000000005
"41",-67.7403319083313988,-7.3876900000000001
"57",-68.3262758165037951,-10.4743999999999993
"19",-69.8707444831998004,-7.5507900000000001
"38",-72.5377305373476986,-8.7587600000000005
"44",-68.8581377158262029,-9.9486699999999999
"23",-70.3586106144829984,-7.9144600000000001
"43",-67.2189232348063967,-7.9976599999999998
"20",-66.5055681644299028,-8.5164500000000007
"34",-71.3349883091468939,-9.9723799999999994
"42",-60.4853592029721980,-8.4667999999999992
"54",-53.9832385926819995,-8.1795899999999993
"37",-80.2947867517686973,-9.9970700000000008
"58",-76.3337758641464035,-9.1331500000000005
"48",-70.4906322300303003,-8.0063600000000008
"52",-62.2206175251594971,-10.3953000000000007
"33",-75.3556041780030057,-8.6069200000000006
"36",-59.5341337525569969,-7.4405400000000004
"67",-74.2172736083812055,-10.2436000000000007
"31",-73.1907085521052068,-9.2824700000000000
"53",-58.7064389614606981,-6.9976399999999996
"30",-68.4867344187769049,-9.1981900000000003
"39",-65.2219469139817960,-7.1974999999999998
"65",-73.0019075057643931,-9.4878999999999998
"60",-64.1058413095888966,-8.1437399999999993
"68",-70.5838211957889001,-9.7782300000000006
"69",-71.6418445281487948,-10.7146000000000008
"49",-66.5222304033996039,-7.9342899999999998
"64",-70.9427414061901942,-9.4222800000000007
"63",-72.8513524211485048,-8.5616400000000006
"59",-72.1585291539776961,-8.1151700000000009
"46",-64.5587943372702000,-7.8593599999999997
"24",-72.3202658034715995,-8.8699100000000008
"26",-67.5488172694786044,-9.1694399999999998
"29",-71.7553336977144056,-9.6460200000000000
"35",-71.5668278288248985,-10.1387999999999998
"56",-74.0520067368088064,-10.5656999999999996
