"Title","exp dg","MMGBSA dG Bind"
"CHEMBL3264999",-11.4186999999999994,-73.8356885518351049
"CHEMBL3265014",-10.3956000000000000,-53.1477165902452029
"CHEMBL3265034",-11.4870000000000001,-45.1307538407199971
"CHEMBL3265015",-9.4815199999999997,-53.7355988897706993
"CHEMBL3265036",-10.4228000000000005,-41.2718123826598031
"CHEMBL3265020",-11.0094999999999992,-47.1056273336052982
"CHEMBL3265023",-10.4773999999999994,-49.2865043780439009
"CHEMBL3265002",-10.6137999999999995,-78.0598265731841963
"CHEMBL3265033",-11.8416999999999994,-49.0851505575556004
"CHEMBL3265027",-10.3272999999999993,-40.7798388341051989
"CHEMBL3265028",-11.0094999999999992,-45.0141410915294031
"CHEMBL3264997",-10.9822000000000006,-67.9801546523066946
"CHEMBL3264996",-10.6684000000000001,-80.6012318376087933
"CHEMBL3264994",-9.8089399999999998,-50.1520349966650016
"CHEMBL3264995",-12.3873999999999995,-72.6699515107139007
"CHEMBL3265032",-11.0640000000000001,-47.2294165217154003
"CHEMBL3265031",-12.0736000000000008,-47.4327604839308989
"CHEMBL3265037",-12.7693999999999992,-48.4524309637764006
"CHEMBL3265026",-11.3642000000000003,-54.9415680311722028
"CHEMBL3265012",-10.5456000000000003,-54.1146456840305987
"CHEMBL3265003",-10.8185000000000002,-77.2744468772834949
"CHEMBL3264998",-11.7188999999999997,-67.4642406595539939
"CHEMBL3265029",-11.1186000000000007,-42.0840149639735017
"CHEMBL3265035",-11.0777000000000001,-44.3031014139250985
"CHEMBL3265024",-11.7871000000000006,-58.4758464688274984
"CHEMBL3265018",-11.1867999999999999,-47.5913414342121968
"CHEMBL3265008",-9.7816500000000008,-63.4465216005919999
"CHEMBL3265016",-11.6915999999999993,-45.5417658439836970
"CHEMBL3265025",-10.2045999999999992,-55.7974501313473965
"CHEMBL3265013",-9.8089399999999998,-51.9536502766296024
"CHEMBL3259820",-10.5729000000000006,-50.8088685534276010
"CHEMBL3265001",-12.0327000000000002,-73.1469312143417056
"CHEMBL3265006",-9.9589999999999996,-60.7978935211739966
"CHEMBL3265030_n",-11.4700000000000006,-43.3173317033160998
"CHEMBL3265022",-10.7911999999999999,-51.5406259608972022
"CHEMBL3265019",-10.7775999999999996,-51.0026496969822034
"CHEMBL3265004",-10.8594000000000008,-72.2318287157086019
"CHEMBL3265009",-10.3001000000000005,-62.6969422165294006
"CHEMBL3265021",-10.8866999999999994,-48.9101985802099009
"CHEMBL3265011",-8.6356800000000007,-62.0852353069531020
"CHEMBL3265005",-10.3272999999999993,-52.2019999611583998
"CHEMBL3265017",-11.4870000000000001,-48.5999796271025986
"CHEMBL3265000",-11.8143999999999991,-68.4203737048265026
"CHEMBL3265010",-10.1364000000000001,-63.1199856946458979
